TOTAL,F,MED_E,EUR,EL	7422 	7480 	7636 	8074 	9368 	10760 	11690 	11274 	10688 	9938 	9636 	9226 	8650 	8073 	6974 	6850 	6275 	6299 	5798 	5370 	5102 
TOTAL,F,MED_E,EUR,ES	13490 	13249 	13091 	13444 	13695 	13699 	14450 	14355 	13623 b	11304 	10806 	10110 	10092 	: 	8728 	8043 	7375 	6750 	6503 	6184 	6098 
TOTAL,F,MED_E,EUR,EU	16119 e	15793 e	15473 e	15101 e	15121 e	14623 e	: 	14422 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13536 e	12757 e	12012 e	11667 e	11144 e	10664 e	10281 e
TOTAL,F,MED_E,EUR,EU27	16209 e	15882 	15563 	15188 	15206 	14703 	14586 	14422 	14266 	13526 	12628 e	12319 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,EU28	16119 e	15793 	15473 	15101 	15121 	14623 	14509 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,FI	23225 	23375 	23150 	22791 	22196 	21336 	20854 	20334 	19180 	18096 	17911 	17071 	16310 	: 	14521 	13918 	13204 	13055 	12480 	12499 	: 
TOTAL,F,MED_E,EUR,FR	21416 	21137 	20875 	20619 	20292 	19683 	19597 	19287 	18663 b	16151 	15895 	15656 	14960 	: 	14628 	13986 	13629 	13410 	13237 	12967 	12493 
TOTAL,F,MED_E,EUR,HR	5569 	5349 	5070 	4982 	5303 	5477 	5723 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,HU	4722 	4524 	4450 	4393 	4606 	4417 	4194 	4686 	4345 	3903 	3805 	3417 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,IE	: 	21183 	19951 	19561 	19420 	19077 	20034 	22081 	22389 	21345 	19080 	18311 	17434 	16767 	14037 	11993 	10850 	10465 	8950 	8042 	7752 
TOTAL,F,MED_E,EUR,IS	: 	23497 	22161 	20896 	18993 	18699 	18053 	21825 	31986 	28299 	28064 	23312 	21958 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,EUR,IT	16092 p	15484 	15369 	15310 	15558 	15453 	15413 	15081 	15158 	14644 	14195 	13850 	13251 	: 	10259 	9847 	9225 	8706 	8098 	7214 	7543 
TOTAL,F,MED_E,EUR,LT	5497 	5057 	4703 	4498 	4168 	3742 	3885 	4546 	3957 	3169 	2435 	2012 	: 	: 	: 	: 	: 	: 	: 	: 	: 
